ProductKey,ProductName,Category,Subcategory,product_status,q11,r11,c11_total,gp11,gm11_pct,q12,r12,c12_total,gp12,gm12_pct,revenue_change,gp_change,gm_pct_change,p11,c11,ugp11,p12,c12,ugp12,baseline_avg_ugp,price_effect,unit_cost_effect,volume_effect,mix_effect,reconciled_gp_change,residual
502,"LL Touring Frame - Blue, 50",Components,Touring Frames,NEW,0.0,0.0,0.0,0.0,0.0,18.0,3600.936,3597.3342,3.6018,0.0010002399376162197,3600.936,3.6018,0.0010002399376162197,0.0,0.0,0.0,200.052,199.8519,0.2001,2.6635030771366432,0.0,0.0,47.943055388459584,-44.34125538845958,3.6018,0.0
213,"Sport-100 Helmet, Red",Accessories,Helmets,CONTINUING,122.0,1847.067,1693.1404,153.9266,0.08333568841844936,954.0,18993.8935,13239.8028,5754.0907,0.3029442436328286,17146.8265,5600.1641,0.21960855521437928,15.13989344262295,13.8782,1.2616934426229507,19.909741614255765,13.8782,6.031541614255765,2.6635030771366432,4550.435155737705,0.0,2216.034560177687,-1166.3056159153923,5600.1641,-3.2e-15
254,"LL Road Frame - Black, 58",Components,Road Frames,CONTINUING,30.0,5518.146,5104.284,413.862,0.075000190281301,286.0,52606.3252,48660.8408,3945.4844,0.075000190281301,47088.1792,3531.6224,0.0,183.9382,170.1428,13.7954,183.9382,170.1428,13.7954,2.6635030771366432,0.0,0.0,681.8567877469807,2849.7656122530193,3531.6224,0.0
435,"ML Road Frame-W - Yellow, 48",Components,Road Frames,CONTINUING,27.0,8760.2229,8103.2076,657.0153,0.07499983818904882,337.0,109340.5599,101140.0356,8200.5243,0.07499983818904882,100580.337,7543.509,0.0,324.4527,300.1188,24.3339,324.4527,300.1188,24.3339,2.6635030771366432,0.0,0.0,825.6859539123594,6717.82304608764,7543.509,0.0
374,"Road-250 Black, 44",Bikes,Road Bikes,NEW,0.0,0.0,0.0,0.0,0.0,38.0,55708.38,59088.0202,-3379.6402,-0.06066663938172318,55708.38,-3379.6402,-0.06066663938172318,0.0,0.0,0.0,1466.01,1554.9479,-88.9379,2.6635030771366432,0.0,0.0,101.21311693119245,-3480.8533169311922,-3379.6402,0.0
357,"Mountain-200 Silver, 46",Bikes,Mountain Bikes,NEW,0.0,0.0,0.0,0.0,0.0,35.0,48719.79,44296.6825,4423.1075,0.09078667005748588,48719.79,4423.1075,0.09078667005748588,0.0,0.0,0.0,1391.994,1265.6195,126.3745,2.6635030771366432,0.0,0.0,93.22260769978251,4329.884892300218,4423.1075,0.0
521,LL Touring Seat/Saddle,Components,Saddles,NEW,0.0,0.0,0.0,0.0,0.0,12.0,195.264,144.4956,50.7684,0.25999877089478857,195.264,50.7684,0.25999877089478857,0.0,0.0,0.0,16.272,12.0413,4.2307,2.6635030771366432,0.0,0.0,31.962036925639723,18.80636307436028,50.7684,0.0
238,"HL Road Frame - Red, 62",Components,Road Frames,DISCONTINUED,21.0,15919.5939,15707.3322,212.2617,0.013333361474754704,0.0,0.0,0.0,0.0,0.0,-15919.5939,-212.2617,-0.013333361474754704,758.0759,747.9682,10.1077,0.0,0.0,0.0,2.6635030771366432,0.0,0.0,-55.933564619869514,-156.32813538013048,-212.2617,0.0
388,"Road-550-W Yellow, 44",Bikes,Road Bikes,NEW,0.0,0.0,0.0,0.0,0.0,11.0,7395.234,7843.8778,-448.6438,-0.06066661311866534,7395.234,-448.6438,-0.06066661311866534,0.0,0.0,0.0,672.294,713.0798,-40.7858,2.6635030771366432,0.0,0.0,29.298533848503077,-477.9423338485031,-448.6438,0.0
507,"LL Touring Frame - Yellow, 50",Components,Touring Frames,NEW,0.0,0.0,0.0,0.0,0.0,14.0,2800.728,2797.9266,2.8014,0.0010002399376162197,2800.728,2.8014,0.0010002399376162197,0.0,0.0,0.0,200.052,199.8519,0.2001,2.6635030771366432,0.0,0.0,37.28904307991301,-34.487643079913006,2.8014,0.0
483,Hitch Rack - 4-Bike,Accessories,Bike Racks,NEW,0.0,0.0,0.0,0.0,0.0,148.0,9941.808,6642.24,3299.568,0.3318881233675002,9941.808,3299.568,0.3318881233675002,0.0,0.0,0.0,67.17437837837838,44.88,22.29437837837838,2.6635030771366432,0.0,0.0,394.1984554162232,2905.3695445837766,3299.568,-3.2e-15
348,"Mountain-100 Black, 38",Bikes,Mountain Bikes,DISCONTINUED,501.0,929471.9087,950945.2944,-21473.3857,-0.023102780728503795,0.0,0.0,0.0,0.0,0.0,-929471.9087,21473.3857,0.023102780728503795,1855.2333506986029,1898.0944,-42.86104930139721,0.0,0.0,0.0,2.6635030771366432,0.0,0.0,-1334.4150416454584,22807.800741645457,21473.3857,-5.6e-15
